  Epoch  ,  Iteration  ,  Time Elapsed  ,  Mini-batch  ,  Validation  ,  Mini-batch  ,  Validation  ,  Base Learning  
         ,             ,   (hh:mm:ss)   ,   Accuracy   ,   Accuracy   ,     Loss     ,     Loss     ,      Rate       
6,286,       01:00:39 ,90.62%,87.01%,0.3405,0.4036,0.0034
6,287,       01:00:51 ,79.69%,86.74%,0.4951,0.3938,0.0034
6,288,       01:01:03 ,89.06%,86.32%,0.3242,0.3866,0.0034
6,289,       01:01:17 ,85.94%,86.04%,0.4119,0.4056,0.0034
6,290,       01:01:31 ,81.25%,86.11%,0.5657,0.4189,0.0034
6,291,       01:01:44 ,87.50%,85.56%,0.3724,0.4314,0.0034
6,292,       01:01:57 ,84.38%,87.08%,0.6436,0.3873,0.0034
6,293,       01:02:12 ,87.50%,85.42%,0.3818,0.427,0.0034
6,294,       01:02:25 ,84.38%,87.43%,0.3382,0.372,0.0034
6,295,       01:02:40 ,82.81%,86.32%,0.5,0.3974,0.0034
6,296,       01:02:54 ,84.38%,86.46%,0.4236,0.4119,0.0034
6,297,       01:03:08 ,89.06%,85.90%,0.3097,0.4322,0.0034
6,298,       01:03:22 ,76.56%,86.94%,0.6575,0.4128,0.0034
6,299,       01:03:36 ,84.38%,86.81%,0.3927,0.3882,0.0034
6,300,       01:03:50 ,79.69%,86.81%,0.4462,0.3848,0.0034
6,301,       01:04:03 ,90.62%,86.53%,0.3097,0.3876,0.0034
6,302,       01:04:17 ,89.06%,85.76%,0.2138,0.4318,0.0034
6,303,       01:04:31 ,73.44%,86.74%,0.69,0.4127,0.0034
6,304,       01:04:45 ,85.94%,85.42%,0.5257,0.4225,0.0034
6,305,       01:04:59 ,90.62%,86.74%,0.1591,0.385,0.0034
6,306,       01:05:14 ,82.81%,87.29%,0.4267,0.3969,0.0034
6,307,       01:05:28 ,90.62%,87.29%,0.1912,0.3734,0.0034
6,308,       01:05:42 ,90.62%,88.19%,0.2771,0.3729,0.0034
6,309,       01:05:57 ,87.50%,87.92%,0.3505,0.3756,0.0034
6,310,       01:06:10 ,90.62%,87.15%,0.3277,0.381,0.0034
6,311,       01:06:24 ,87.50%,87.22%,0.4134,0.3897,0.0034
6,312,       01:06:38 ,93.75%,88.06%,0.1818,0.3762,0.0034
7,313,       01:06:52 ,85.94%,87.29%,0.5228,0.377,0.0034
7,314,       01:07:06 ,93.75%,87.50%,0.2737,0.3736,0.0034
7,315,       01:07:20 ,89.06%,86.94%,0.2729,0.3744,0.0034
7,316,       01:07:33 ,84.38%,87.71%,0.4047,0.3492,0.0034
7,317,       01:07:46 ,84.38%,86.53%,0.4231,0.393,0.0034
7,318,       01:08:01 ,92.19%,85.69%,0.231,0.396,0.0034
7,319,       01:08:14 ,79.69%,86.53%,0.5958,0.376,0.0034
7,320,       01:08:28 ,79.69%,87.64%,0.4279,0.3591,0.0034
7,321,       01:08:42 ,90.62%,87.99%,0.3077,0.3662,0.0034
7,322,       01:08:55 ,87.50%,88.61%,0.3424,0.3636,0.0034
7,323,       01:09:09 ,93.75%,87.36%,0.2766,0.3964,0.0034
7,324,       01:09:23 ,90.62%,88.68%,0.4224,0.3751,0.0034
7,325,       01:09:37 ,85.94%,87.01%,0.4602,0.4249,0.0034
7,326,       01:09:51 ,92.19%,87.50%,0.2874,0.3601,0.0034
7,327,       01:10:04 ,78.12%,87.64%,0.6596,0.3515,0.0034
7,328,       01:10:18 ,87.50%,85.97%,0.5506,0.3707,0.0034
7,329,       01:10:32 ,84.38%,85.62%,0.4111,0.3705,0.0034
7,330,       01:10:46 ,85.94%,85.97%,0.3598,0.389,0.0034
7,331,       01:10:59 ,84.38%,85.00%,0.4813,0.3692,0.0034
7,332,       01:11:14 ,87.50%,86.81%,0.2825,0.3799,0.0034
7,333,       01:11:28 ,81.25%,86.46%,0.4216,0.3896,0.0034
7,334,       01:11:42 ,87.50%,86.39%,0.2848,0.3866,0.0034
7,335,       01:11:55 ,87.50%,86.74%,0.3577,0.3732,0.0034
7,336,       01:12:09 ,82.81%,86.60%,0.5347,0.4055,0.0034
7,337,       01:12:23 ,81.25%,87.08%,0.433,0.3889,0.0034
7,338,       01:12:37 ,90.62%,87.15%,0.3189,0.3993,0.0034
7,339,       01:12:51 ,87.50%,87.71%,0.3269,0.3865,0.0034
7,340,       01:13:04 ,90.62%,87.36%,0.3449,0.4059,0.0034
7,341,       01:13:18 ,84.38%,87.85%,0.3652,0.3816,0.0034
7,342,       01:13:31 ,82.81%,87.64%,0.4644,0.3958,0.0034
7,343,       01:13:44 ,84.38%,87.85%,0.4109,0.3846,0.0034
7,344,       01:13:58 ,87.50%,87.43%,0.4987,0.4077,0.0034
7,345,       01:14:12 ,92.19%,87.22%,0.2744,0.3853,0.0034
7,346,       01:14:23 ,85.94%,87.08%,0.4269,0.3948,0.0034
7,347,       01:14:36 ,84.38%,87.22%,0.3706,0.3899,0.0034
7,348,       01:14:47 ,85.94%,87.08%,0.3575,0.3747,0.0034
7,349,       01:14:59 ,79.69%,87.50%,0.5522,0.372,0.0034
7,350,       01:15:12 ,89.06%,87.22%,0.3946,0.3829,0.0034
7,351,       01:15:25 ,79.69%,87.43%,0.5345,0.401,0.0034
7,352,       01:15:39 ,81.25%,87.64%,0.7121,0.3869,0.0034
7,353,       01:15:52 ,87.50%,87.64%,0.3292,0.3921,0.0034
